TransactionID,UserID,CourseID,TeacherID
TR00001,U02668,C0029,T0086
TR00002,U02236,C0003,T0077
TR00003,U01122,C0090,T0007
TR00004,U00131,C0104,T0008
TR00005,U02853,C0123,T0028
TR00006,U01195,C0186,T0045
TR00007,U02984,C0076,T0107
TR00008,U00183,C0130,T0073
TR00009,U00364,C0108,T0089
TR00010,U00039,C0156,T0120
TR00011,U02545,C0082,T0080
TR00012,U01373,C0077,T0074
TR00013,U00921,C0002,T0011
TR00014,U02770,C0127,T0031
TR00015,U00016,C0135,T0012
TR00016,U00493,C0026,T0095
TR00017,U01450,C0088,T0078
TR00018,U01132,C0016,T0051
TR00019,U02942,C0151,T0044
TR00020,U00311,C0168,T0096
TR00021,U00739,C0188,T0050
TR00022,U00546,C0073,T0117
TR00023,U02462,C0032,T0017
TR00024,U00251,C0015,T0035
TR00025,U00759,C0141,T0001
TR00026,U01805,C0005,T0029
TR00027,U01298,C0074,T0051
TR00028,U01632,C0052,T0064
TR00029,U01915,C0077,T0004
TR00030,U00814,C0169,T0087
TR00031,U00029,C0181,T0028
TR00032,U00958,C0110,T0016
TR00033,U02033,C0178,T0063
TR00034,U00477,C0143,T0076
TR00035,U00318,C0106,T0053
TR00036,U00245,C0127,T0085
TR00037,U00748,C0007,T0109
TR00038,U00697,C0040,T0017
TR00039,U00272,C0156,T0040
TR00040,U01772,C0160,T0013
TR00041,U01263,C0099,T0052
TR00042,U02425,C0143,T0058
TR00043,U00266,C0085,T0096
TR00044,U02974,C0198,T0037
TR00045,U00921,C0065,T0114
TR00046,U00340,C0132,T0079
TR00047,U00389,C0011,T0076
TR00048,U02625,C0108,T0061
TR00049,U02051,C0026,T0113
TR00050,U01166,C0189,T0079
TR00051,U00376,C0165,T0034
TR00052,U02034,C0151,T0070
TR00053,U02372,C0085,T0017
TR00054,U00146,C0168,T0112
TR00055,U01982,C0151,T0113
TR00056,U00293,C0123,T0020
TR00057,U00432,C0144,T0073
TR00058,U00705,C0189,T0059
TR00059,U02997,C0068,T0069
TR00060,U01999,C0104,T0087
TR00061,U02633,C0080,T0033
TR00062,U00399,C0159,T0102
TR00063,U02865,C0053,T0120
TR00064,U00964,C0106,T0078
TR00065,U02235,C0153,T0017
TR00066,U02042,C0044,T0057
TR00067,U01829,C0140,T0083
TR00068,U02109,C0090,T0097
TR00069,U00939,C0101,T0001
